Name,Assists,Goals,Yellow Cards,Red Cards,Matches Played,Nationality,Age,2015,2016,2017,2018,2019,Predicted 2020
Adam Federici,0,0,0,0,42,Australia,34,900000,900000,900000,900000,675000,1269638
Ashley Williams,1,1,7,1,48,Wales,34,5850000,7200000,7200000,3150000,2250000,3160723
Benik Afobe,2,9,0,0,49,DR Congo,26,6300000,8100000,9000000,9000000,9000000,7868727
Bojan Krkic,0,2,0,0,36,Spain,28,6300000,900000,7200000,2250000,1350000,375523
Bruno Martins Indi,0,1,6,1,44,Netherlands,27,10350000,9000000,9000000,9000000,7200000,7419215
Charlie Adam,1,0,4,0,23,Scotland,33,3600000,4050000,3150000,1800000,1350000,2136857
Danny Batth,0,0,3,0,41,England,28,900000,900000,900000,900000,2250000,1269638
Darren Fletcher,0,1,0,0,30,Scotland,35,1800000,1800000,1800000,1800000,1350000,1979971
Jack Butland,0,0,0,0,44,England,26,3150000,8100000,13500000,19800000,16200000,16567732
Jakob Haugaard,0,0,0,0,5,Denmark,26,675000,900000,675000,450000,450000,977538
James McClean,6,3,11,0,44,Ireland,29,2700000,2700000,2700000,2700000,4500000,2690304
Joe Allen,4,6,9,0,47,Wales,29,9000000,10800000,13500000,16200000,13500000,13399899
Josh Tymon,0,0,0,0,2,England,19,0,450000,900000,1800000,1350000,2030358
Mame Diouf,1,0,0,0,25,Senegal,31,8100000,7200000,6300000,6300000,4500000,5487825
Ryan Shawcross,0,0,6,0,44,England,31,8100000,8100000,9900000,9000000,6300000,7397216
Tom Ince,7,6,2,0,42,England,27,5850000,9000000,6300000,7200000,9000000,7193838
