Name,Goals,Assists,Yellow Cards,Red Cards,Matches Played,Nationality,Age,2015,2016,2017,2018,2019
Adam Federici,0,0,0,0,42,Australia,34,900000,900000,900000,900000,675000
Ashley Williams,1,1,7,1,48,Wales,34,5850000,7200000,7200000,3150000,2250000
Benik Afobe,2,9,0,0,49,DR Congo,26,6300000,8100000,9000000,9000000,9000000
Bojan Krkic,0,2,0,0,36,Spain,28,6300000,900000,7200000,2250000,1350000
Bruno Martins Indi,0,1,6,1,44,Netherlands,27,10350000,9000000,9000000,9000000,7200000
Charlie Adam,1,0,4,0,23,Scotland,33,3600000,4050000,3150000,1800000,1350000
Danny Batth,0,0,0,0,1,England,28,900000,900000,900000,900000,2250000
Darren Fletcher,0,0,3,0,41,Scotland,35,1800000,1800000,1800000,1800000,1350000
Jack Butland,0,1,0,0,30,England,26,3150000,8100000,13500000,19800000,16200000
Jakob Haugaard,0,0,0,0,44,Denmark,26,675000,900000,675000,450000,450000
James McClean,0,0,0,0,5,Ireland,29,2700000,2700000,2700000,2700000,4500000
Joe Allen,6,3,11,0,44,Wales,29,9000000,10800000,13500000,16200000,13500000
Josh Tymon,4,6,9,0,47,England,19,0,450000,900000,1800000,1350000
Mame Diouf,0,0,0,0,2,Senegal,31,8100000,7200000,6300000,6300000,4500000
Ryan Shawcross,1,0,0,0,25,England,31,8100000,8100000,9900000,9000000,6300000
Ryan Woods,0,0,6,0,44,England,25,450000,1350000,1350000,2250000,4500000
Tom Ince,7,6,2,0,42,England,27,5850000,9000000,6300000,7200000,9000000
